Mission:_Impossible_-_Fallout (Director: Christopher_McQuarrie, Year: 2018, Platform: Blu-Ray)
Spider-Man_-_Far_From_Home (Director: Jon_Watts, Year: 2019, Platform: Ultra-HD_Blu-Ray)
Fantastic_Beasts_-_The_Crimes_of_Grindelwald (Director: David_Yates, Year: 2018, Platform: Ultra-HD_Blu-Ray)
Star_Wars_-_Revenge_of_the_Sith (Director: George_Lucas, Year: 2005, Platform: Blu-Ray)
Shazam! (Director: David_Sandberg, Year: 2019, Platform: Ultra-HD_Blu-Ray)
Rocketman (Director: Dexter_Fletcher, Year: 2019, Platform: Digital_iTunes)
Avengers_-_Endgame (Director: Joe_Russo_&_Anthony_Russo, Year: 2019, Platform: Blu-Ray)
Batman_-_Hush (Director: Justin_Copeland, Year: 2019, Platform: Digital_iTunes)
A_Quiet_Place (Director: John_Krasinski, Year: 2018, Platform: Blu-Ray)
Happy_Feet (Director: George_Miller, Year: 2006, Platform: Digital_iTunes)
Solo_-_A_Star_Wars_Story (Director: Ron_Howard, Year: 2018, Platform: Digital_iTunes)
X-Men_-_Days_of_Future_Past (Director: Bryan_Singer, Year: 2014, Platform: Digital_iTunes)
Avengers_-_Infinity_War (Director: Joe_Russo_&_Anthony_Russo, Year: 2018, Platform: Digital_iTunes)
Maze_Runner_-_The_Death_Cure (Director: Wes_Ball, Year: 2018, Platform: Blu-Ray)
Thor_-_Ragnarok (Director: Taika_Waititi, Year: 2017, Platform: Blu-Ray)
Black_Panther (Director: Ryan_Coogler, Year: 2018, Platform: Blu-Ray)
Inception (Director: Christopher_Nolan, Year: 2010, Platform: Blu-Ray)
Justice_League (Director: Zack_Snyder, Year: 2017, Platform: Blu-Ray)
The_Lord_of_the_Rings_-_The_Return_of_the_King (Director: Peter_Jackson, Year: 2003, Platform: Blu-Ray)
